board,sprint,start_date,end_date,complete_date,done_issues,total_issues,completion_rate
Tesla Scrum Board,Ops Prime 2026 Q 1.1,2026-01-13T17:51:19.918Z,2026-01-20T05:00:00.000Z,2026-01-21T14:47:08.299Z,127,161,78.9
Tesla Scrum Board,Ops Prime 2026 Q 1.2,2026-01-21T14:47:59.654Z,2026-02-03T05:00:00.000Z,2026-02-04T12:37:29.411Z,114,153,74.5
Tesla Scrum Board,Ops Prime 2026 Q 1.3,2026-02-04T12:38:07.071Z,2026-02-17T05:00:00.000Z,2026-02-18T12:13:54.861Z,78,109,71.6
Tesla Scrum Board,Ops Prime 2026 Q 1.4,2026-02-18T12:20:47.709Z,2026-03-03T05:00:00.000Z,2026-03-03T21:31:27.739Z,56,89,62.9
WOL - Scrum Board,WOL 2025 Q4.2,2025-10-15T12:45:20.227Z,2025-10-28T04:00:00.000Z,2025-10-29T11:13:01.720Z,13,13,100.0
WOL - Scrum Board,WOL 2025 Q4.4,2025-11-12T12:10:29.745Z,2025-11-25T04:00:00.000Z,2025-12-01T12:02:53.353Z,21,21,100.0
WOL - Scrum Board,WOL 2025 Q4.3,2025-10-29T11:13:16.556Z,2025-11-11T04:00:00.000Z,2025-11-12T12:09:29.342Z,19,19,100.0
WOL - Scrum Board,WOL 2025 Q4.5,2025-12-01T12:03:07.900Z,2025-12-09T04:00:00.000Z,2025-12-10T13:50:25.840Z,40,41,97.6
WOL - Scrum Board,WOL 2025 Q4.6,2025-12-10T13:52:15.456Z,2025-12-23T04:00:00.000Z,2025-12-23T18:22:52.110Z,25,27,92.6
WOL - Scrum Board,WOL 2025 Q4.7,2025-12-23T18:23:04.726Z,2026-01-07T04:00:00.000Z,2026-01-07T14:27:22.013Z,37,39,94.9
WOL - Scrum Board,WOL 2026 Q 1.1,2026-01-07T14:28:06.523Z,2026-01-20T05:00:00.000Z,2026-01-21T12:00:01.610Z,36,38,94.7
WOL - Scrum Board,WOL 2026 Q 1.2,2026-01-21T12:00:22.530Z,2026-02-03T05:00:00.000Z,2026-02-04T12:37:07.433Z,33,35,94.3
WOL - Scrum Board,WOL 2026 Q 1.3,2026-02-04T12:37:17.731Z,2026-02-17T05:00:00.000Z,2026-02-18T12:22:02.743Z,41,43,95.3
WOL - Scrum Board,WOL 2026 Q 1.4,2026-02-18T12:22:19.088Z,2026-03-03T05:00:00.000Z,2026-03-03T21:32:26.181Z,53,57,93.0
WOL - Scrum Board,WOL 2026 Q 1.5,2026-03-03T21:32:35.718Z,2026-03-17T05:00:00.000Z,2026-03-18T13:47:48.088Z,28,28,100.0
WOL - Scrum Board,WOL 2026 Q 1.6,2026-03-18T13:47:03.389Z,2026-03-31T05:00:00.000Z,2026-04-01T11:18:19.792Z,26,41,63.4
SNUS - Scrum Board,Maui 2025 Q 4.1,2025-10-01T11:36:23.590Z,2025-10-14T04:00:00.000Z,2025-10-15T10:53:05.414Z,19,19,100.0
SNUS - Scrum Board,Maui 2025 Q 4.2,2025-10-15T12:44:53.566Z,2025-10-28T04:00:00.000Z,2025-10-29T10:58:36.323Z,16,16,100.0
SNUS - Scrum Board,Maui 2025 Q 4.3,2025-10-29T10:58:53.633Z,2025-11-11T04:00:00.000Z,2025-11-12T12:10:55.413Z,9,9,100.0
SNUS - Scrum Board,Maui 2025 Q 4.4,2025-11-12T12:11:02.693Z,2025-11-25T04:00:00.000Z,2025-12-01T12:01:25.108Z,18,18,100.0
SNUS - Scrum Board,Maui 2025 Q 4.6,2025-12-10T13:52:22.729Z,2025-12-23T04:00:00.000Z,2025-12-23T18:23:18.960Z,12,12,100.0
SNUS - Scrum Board,Maui 2025 Q 4.7,2025-12-23T18:23:29.702Z,2026-01-07T04:00:00.000Z,2026-01-07T14:29:02.096Z,3,3,100.0
SNUS - Scrum Board,Maui 2026 Q 1.1,2026-01-07T14:29:57.630Z,2026-01-20T05:00:00.000Z,2026-01-21T12:00:37.475Z,24,24,100.0
SNUS - Scrum Board,Maui 2026 Q 1.2,2026-01-21T12:00:47.950Z,2026-02-03T05:00:00.000Z,2026-02-04T17:44:46.548Z,16,16,100.0
SNUS - Scrum Board,Maui 2026 Q 1.3,2026-02-04T17:44:55.885Z,2026-02-17T05:00:00.000Z,2026-02-18T12:21:18.330Z,13,13,100.0
SNUS - Scrum Board,Maui 2026 Q 1.4,2026-02-18T12:21:29.572Z,2026-03-03T05:00:00.000Z,2026-03-03T21:31:56.596Z,14,14,100.0
SNUS - Scrum Board,Maui 2026 Q 1.5,2026-03-03T21:32:03.483Z,2026-03-17T05:00:00.000Z,2026-03-18T13:46:58.438Z,22,22,100.0
SNUS - Scrum Board,Maui 2026 Q 1.6,2026-03-18T13:47:05.309Z,2026-03-31T05:00:00.000Z,2026-04-01T11:15:26.576Z,14,14,100.0
BB - Scrum Board,Maui 2025 Q 4.3,2025-10-29T10:58:53.633Z,2025-11-11T04:00:00.000Z,2025-11-12T12:10:55.413Z,9,9,100.0
BB - Scrum Board,Maui 2026 Q 1.1,2026-01-07T14:29:57.630Z,2026-01-20T05:00:00.000Z,2026-01-21T12:00:37.475Z,24,24,100.0
CAS Scrum Board,CASTOR 2025 Q4.2,2025-10-01T09:23:43.456Z,2025-10-15T09:22:39.000Z,2025-10-15T05:17:14.195Z,19,22,86.4
CAS Scrum Board,CASTOR 2025 Q4.3,2025-10-16T03:19:09.933Z,2025-10-30T03:18:03.000Z,2025-10-29T06:18:33.370Z,0,10,
REST Scrum Board,CASTOR 2025 Q4.2,2025-10-01T09:23:43.456Z,2025-10-15T09:22:39.000Z,2025-10-15T05:17:14.195Z,19,22,86.4
REST Scrum Board,CASTOR 2025 Q4.3,2025-10-16T03:19:09.933Z,2025-10-30T03:18:03.000Z,2025-10-29T06:18:33.370Z,0,10,
REST Scrum Board,Ops Prime 2026 Q 1.1,2026-01-13T17:51:19.918Z,2026-01-20T05:00:00.000Z,2026-01-21T14:47:08.299Z,127,161,78.9
REST Scrum Board,Ops Prime 2026 Q 1.2,2026-01-21T14:47:59.654Z,2026-02-03T05:00:00.000Z,2026-02-04T12:37:29.411Z,114,153,74.5
REST Scrum Board,Ops Prime 2026 Q 1.3,2026-02-04T12:38:07.071Z,2026-02-17T05:00:00.000Z,2026-02-18T12:13:54.861Z,78,109,71.6
REST Scrum Board,Ops Prime 2026 Q 1.4,2026-02-18T12:20:47.709Z,2026-03-03T05:00:00.000Z,2026-03-03T21:31:27.739Z,56,89,62.9
Platform Retail - Scrum Board,Maui 2025 Q 4.1,2025-10-01T11:36:23.590Z,2025-10-14T04:00:00.000Z,2025-10-15T10:53:05.414Z,19,19,100.0
Platform Retail - Scrum Board,Maui 2025 Q 4.2,2025-10-15T12:44:53.566Z,2025-10-28T04:00:00.000Z,2025-10-29T10:58:36.323Z,16,16,100.0
Platform Retail - Scrum Board,Maui 2025 Q 4.3,2025-10-29T10:58:53.633Z,2025-11-11T04:00:00.000Z,2025-11-12T12:10:55.413Z,9,9,100.0
Platform Retail - Scrum Board,Maui 2025 Q 4.6,2025-12-10T13:52:22.729Z,2025-12-23T04:00:00.000Z,2025-12-23T18:23:18.960Z,12,12,100.0
Platform Retail - Scrum Board,Maui 2026 Q 1.1,2026-01-07T14:29:57.630Z,2026-01-20T05:00:00.000Z,2026-01-21T12:00:37.475Z,24,24,100.0
Platform Retail - Scrum Board,Maui 2026 Q 1.3,2026-02-04T17:44:55.885Z,2026-02-17T05:00:00.000Z,2026-02-18T12:21:18.330Z,13,13,100.0
OS Scrum Board,Ops Prime 2025 Q 4.2,2025-10-15T12:37:23.138Z,2025-10-28T04:00:00.000Z,2025-10-29T10:57:19.993Z,114,131,87.0
OS Scrum Board,Ops Prime 2025 Q 4.3,2025-10-29T10:58:45.871Z,2025-11-11T04:00:00.000Z,2025-11-12T12:11:18.964Z,28,28,100.0
OS Scrum Board,Ops Prime 2025 Q 4.4,2025-11-12T12:11:26.556Z,2025-11-25T04:00:00.000Z,2025-12-01T12:03:28.839Z,115,138,83.3
OS Scrum Board,Ops Prime 2025 Q 4.5,2025-12-01T12:03:58.915Z,2025-12-09T04:00:00.000Z,2025-12-10T13:52:43.656Z,121,146,82.9
OS Scrum Board,Ops Prime 2025 Q 4.6,2025-12-10T13:53:39.946Z,2025-12-23T04:00:00.000Z,2025-12-23T18:25:08.558Z,131,161,81.4
OS Scrum Board,Ops Prime 2025 Q 4.7,2025-12-23T18:25:19.862Z,2026-01-07T04:00:00.000Z,2026-01-13T17:51:08.059Z,119,153,77.8
OS Scrum Board,Ops Prime 2026 Q 1.1,2026-01-13T17:51:19.918Z,2026-01-20T05:00:00.000Z,2026-01-21T14:47:08.299Z,127,161,78.9
OS Scrum Board,Ops Prime 2026 Q 1.2,2026-01-21T14:47:59.654Z,2026-02-03T05:00:00.000Z,2026-02-04T12:37:29.411Z,114,153,74.5
OS Scrum Board,Ops Prime 2026 Q 1.3,2026-02-04T12:38:07.071Z,2026-02-17T05:00:00.000Z,2026-02-18T12:13:54.861Z,78,109,71.6
OS Scrum Board,Ops Prime 2026 Q 1.4,2026-02-18T12:20:47.709Z,2026-03-03T05:00:00.000Z,2026-03-03T21:31:27.739Z,56,89,62.9
OS Scrum Board,Ops Prime 2026 Q 1.5,2026-03-03T21:31:40.877Z,2026-03-17T05:00:00.000Z,2026-03-18T15:46:46.555Z,46,81,56.8
OS Scrum Board,Ops Prime 2026 Q 1.6,2026-03-18T15:47:04.892Z,2026-03-31T05:00:00.000Z,2026-04-01T11:18:47.018Z,49,90,54.4
Ops Prime Scrum Board,Ops Prime 2025 Q 4.2,2025-10-15T12:37:23.138Z,2025-10-28T04:00:00.000Z,2025-10-29T10:57:19.993Z,114,131,87.0
Ops Prime Scrum Board,Ops Prime 2025 Q 4.3,2025-10-29T10:58:45.871Z,2025-11-11T04:00:00.000Z,2025-11-12T12:11:18.964Z,28,28,100.0
Ops Prime Scrum Board,Ops Prime 2025 Q 4.4,2025-11-12T12:11:26.556Z,2025-11-25T04:00:00.000Z,2025-12-01T12:03:28.839Z,115,138,83.3
Ops Prime Scrum Board,Ops Prime 2025 Q 4.5,2025-12-01T12:03:58.915Z,2025-12-09T04:00:00.000Z,2025-12-10T13:52:43.656Z,121,146,82.9
Ops Prime Scrum Board,Ops Prime 2025 Q 4.6,2025-12-10T13:53:39.946Z,2025-12-23T04:00:00.000Z,2025-12-23T18:25:08.558Z,131,161,81.4
Ops Prime Scrum Board,Ops Prime 2025 Q 4.7,2025-12-23T18:25:19.862Z,2026-01-07T04:00:00.000Z,2026-01-13T17:51:08.059Z,119,153,77.8
Ops Prime Scrum Board,Ops Prime 2026 Q 1.1,2026-01-13T17:51:19.918Z,2026-01-20T05:00:00.000Z,2026-01-21T14:47:08.299Z,127,161,78.9
Ops Prime Scrum Board,Ops Prime 2026 Q 1.2,2026-01-21T14:47:59.654Z,2026-02-03T05:00:00.000Z,2026-02-04T12:37:29.411Z,114,153,74.5
Ops Prime Scrum Board,Ops Prime 2026 Q 1.3,2026-02-04T12:38:07.071Z,2026-02-17T05:00:00.000Z,2026-02-18T12:13:54.861Z,78,109,71.6
Ops Prime Scrum Board,Ops Prime 2026 Q 1.4,2026-02-18T12:20:47.709Z,2026-03-03T05:00:00.000Z,2026-03-03T21:31:27.739Z,56,89,62.9
Ops Prime Scrum Board,Ops Prime 2026 Q 1.5,2026-03-03T21:31:40.877Z,2026-03-17T05:00:00.000Z,2026-03-18T15:46:46.555Z,46,81,56.8
Ops Prime Scrum Board,Ops Prime 2026 Q 1.6,2026-03-18T15:47:04.892Z,2026-03-31T05:00:00.000Z,2026-04-01T11:18:47.018Z,49,90,54.4
Winmark Scrum Board ,WM 2026 Q 1.3,2026-01-19T18:24:38.693Z,2026-01-23T05:00:00.000Z,2026-01-29T17:05:42.009Z,36,36,100.0
Winmark Scrum Board ,WM 2026 Q 1.4,2026-01-29T17:06:25.317Z,2026-02-05T17:06:10.000Z,2026-02-05T14:20:25.972Z,86,86,100.0
Winmark Scrum Board ,WM 2026 Q 1.5,2026-02-05T14:20:58.897Z,2026-02-11T05:00:00.000Z,2026-02-12T20:29:22.925Z,103,129,79.8
Winmark Scrum Board ,WM 2026 Q 1.6,2026-02-12T13:00:02.000Z,2026-02-26T04:30:00.000Z,2026-02-26T20:34:15.557Z,43,47,91.5
Winmark Scrum Board ,WM 2026 Q 1.7,2026-02-26T20:34:34.322Z,2026-03-05T20:34:25.000Z,2026-03-05T21:00:33.387Z,84,95,88.4
Winmark Scrum Board ,WM 2026 Q 1.8,2026-03-05T21:00:52.099Z,2026-03-12T21:00:42.000Z,2026-03-12T19:01:40.633Z,119,158,75.3
Winmark Scrum Board ,WM 2026 Q 1.9,2026-03-12T13:00:34.051Z,2026-03-19T13:00:00.000Z,2026-03-19T21:41:45.110Z,76,137,55.5
Winmark Scrum Board ,WM 2026 Q 1.10,2026-03-19T12:00:22.959Z,2026-03-26T12:00:00.000Z,2026-03-26T21:30:11.852Z,64,127,50.4
Winmark Scrum Board ,WM 2026 Q 1.11,2026-03-26T13:00:35.543Z,2026-04-02T13:00:00.000Z,2026-04-01T20:19:28.546Z,11,83,13.3
WOL_HULK - Scrum Board,WOL 2025 Q4.2,2025-10-15T12:45:20.227Z,2025-10-28T04:00:00.000Z,2025-10-29T11:13:01.720Z,13,13,100.0
WOL_HULK - Scrum Board,WOL 2025 Q4.4,2025-11-12T12:10:29.745Z,2025-11-25T04:00:00.000Z,2025-12-01T12:02:53.353Z,21,21,100.0
WOL_HULK - Scrum Board,WOL 2025 Q4.3,2025-10-29T11:13:16.556Z,2025-11-11T04:00:00.000Z,2025-11-12T12:09:29.342Z,19,19,100.0
WOL_HULK - Scrum Board,WOL 2025 Q4.5,2025-12-01T12:03:07.900Z,2025-12-09T04:00:00.000Z,2025-12-10T13:50:25.840Z,40,41,97.6
WOL_HULK - Scrum Board,WOL 2025 Q4.6,2025-12-10T13:52:15.456Z,2025-12-23T04:00:00.000Z,2025-12-23T18:22:52.110Z,25,27,92.6
WOL_HULK - Scrum Board,WOL 2025 Q4.7,2025-12-23T18:23:04.726Z,2026-01-07T04:00:00.000Z,2026-01-07T14:27:22.013Z,37,39,94.9
WOL_HULK - Scrum Board,WOL 2026 Q 1.1,2026-01-07T14:28:06.523Z,2026-01-20T05:00:00.000Z,2026-01-21T12:00:01.610Z,36,38,94.7
WOL_HULK - Scrum Board,WOL 2026 Q 1.2,2026-01-21T12:00:22.530Z,2026-02-03T05:00:00.000Z,2026-02-04T12:37:07.433Z,33,35,94.3
WOL_HULK - Scrum Board,WOL 2026 Q 1.3,2026-02-04T12:37:17.731Z,2026-02-17T05:00:00.000Z,2026-02-18T12:22:02.743Z,41,43,95.3
WOL_HULK - Scrum Board,WOL 2026 Q 1.4,2026-02-18T12:22:19.088Z,2026-03-03T05:00:00.000Z,2026-03-03T21:32:26.181Z,53,57,93.0
WOL_HULK - Scrum Board,WOL 2026 Q 1.5,2026-03-03T21:32:35.718Z,2026-03-17T05:00:00.000Z,2026-03-18T13:47:48.088Z,28,28,100.0
WOL_HULK - Scrum Board,WOL 2026 Q 1.6,2026-03-18T13:47:03.389Z,2026-03-31T05:00:00.000Z,2026-04-01T11:18:19.792Z,26,41,63.4
EN - Scrum Board,Maui 2025 Q 4.2,2025-10-15T12:44:53.566Z,2025-10-28T04:00:00.000Z,2025-10-29T10:58:36.323Z,16,16,100.0
 Clienteling Scrum Board,Maui 2025 Q 4.1,2025-10-01T11:36:23.590Z,2025-10-14T04:00:00.000Z,2025-10-15T10:53:05.414Z,19,19,100.0
SGNT - Scrum Board,Maui 2025 Q 4.1,2025-10-01T11:36:23.590Z,2025-10-14T04:00:00.000Z,2025-10-15T10:53:05.414Z,19,19,100.0
SGNT - Scrum Board,Maui 2025 Q 4.4,2025-11-12T12:11:02.693Z,2025-11-25T04:00:00.000Z,2025-12-01T12:01:25.108Z,18,18,100.0
SGNT - Scrum Board,Maui 2026 Q 1.1,2026-01-07T14:29:57.630Z,2026-01-20T05:00:00.000Z,2026-01-21T12:00:37.475Z,24,24,100.0
SGNT - Scrum Board,Maui 2026 Q 1.2,2026-01-21T12:00:47.950Z,2026-02-03T05:00:00.000Z,2026-02-04T17:44:46.548Z,16,16,100.0
SGNT - Scrum Board,Maui 2026 Q 1.5,2026-03-03T21:32:03.483Z,2026-03-17T05:00:00.000Z,2026-03-18T13:46:58.438Z,22,22,100.0
SGNT - Scrum Board,Maui 2026 Q 1.6,2026-03-18T13:47:05.309Z,2026-03-31T05:00:00.000Z,2026-04-01T11:15:26.576Z,14,14,100.0
WEMA - Scrum Board,Maui 2025 Q 4.1,2025-10-01T11:36:23.590Z,2025-10-14T04:00:00.000Z,2025-10-15T10:53:05.414Z,19,19,100.0
WEMA - Scrum Board,Maui 2025 Q 4.3,2025-10-29T10:58:53.633Z,2025-11-11T04:00:00.000Z,2025-11-12T12:10:55.413Z,9,9,100.0
WEMA - Scrum Board,Maui 2025 Q 4.4,2025-11-12T12:11:02.693Z,2025-11-25T04:00:00.000Z,2025-12-01T12:01:25.108Z,18,18,100.0
WEMA - Scrum Board,Maui 2025 Q 4.6,2025-12-10T13:52:22.729Z,2025-12-23T04:00:00.000Z,2025-12-23T18:23:18.960Z,12,12,100.0
RL - Scrum Board,WOL 2025 Q4.2,2025-10-15T12:45:20.227Z,2025-10-28T04:00:00.000Z,2025-10-29T11:13:01.720Z,13,13,100.0
RL - Scrum Board,WOL 2025 Q4.4,2025-11-12T12:10:29.745Z,2025-11-25T04:00:00.000Z,2025-12-01T12:02:53.353Z,21,21,100.0
RL - Scrum Board,WOL 2025 Q4.3,2025-10-29T11:13:16.556Z,2025-11-11T04:00:00.000Z,2025-11-12T12:09:29.342Z,19,19,100.0
RL - Scrum Board,WOL 2025 Q4.5,2025-12-01T12:03:07.900Z,2025-12-09T04:00:00.000Z,2025-12-10T13:50:25.840Z,40,41,97.6
RL - Scrum Board,WOL 2025 Q4.6,2025-12-10T13:52:15.456Z,2025-12-23T04:00:00.000Z,2025-12-23T18:22:52.110Z,25,27,92.6
RL - Scrum Board,WOL 2025 Q4.7,2025-12-23T18:23:04.726Z,2026-01-07T04:00:00.000Z,2026-01-07T14:27:22.013Z,37,39,94.9
RL - Scrum Board,WOL 2026 Q 1.1,2026-01-07T14:28:06.523Z,2026-01-20T05:00:00.000Z,2026-01-21T12:00:01.610Z,36,38,94.7
RL - Scrum Board,WOL 2026 Q 1.2,2026-01-21T12:00:22.530Z,2026-02-03T05:00:00.000Z,2026-02-04T12:37:07.433Z,33,35,94.3
RL - Scrum Board,WOL 2026 Q 1.3,2026-02-04T12:37:17.731Z,2026-02-17T05:00:00.000Z,2026-02-18T12:22:02.743Z,41,43,95.3
RL - Scrum Board,WOL 2026 Q 1.4,2026-02-18T12:22:19.088Z,2026-03-03T05:00:00.000Z,2026-03-03T21:32:26.181Z,53,57,93.0
RL - Scrum Board,WOL 2026 Q 1.5,2026-03-03T21:32:35.718Z,2026-03-17T05:00:00.000Z,2026-03-18T13:47:48.088Z,28,28,100.0
RL - Scrum Board,WOL 2026 Q 1.6,2026-03-18T13:47:03.389Z,2026-03-31T05:00:00.000Z,2026-04-01T11:18:19.792Z,26,41,63.4
MAUI Scrum Board,Maui 2025 Q 4.2,2025-10-15T12:44:53.566Z,2025-10-28T04:00:00.000Z,2025-10-29T10:58:36.323Z,16,16,100.0
MAUI Scrum Board,Maui 2025 Q 4.3,2025-10-29T10:58:53.633Z,2025-11-11T04:00:00.000Z,2025-11-12T12:10:55.413Z,9,9,100.0
MAUI Scrum Board,Maui 2025 Q 4.4,2025-11-12T12:11:02.693Z,2025-11-25T04:00:00.000Z,2025-12-01T12:01:25.108Z,18,18,100.0
MAUI Scrum Board,Maui 2025 Q 4.5,2025-12-01T12:01:32.578Z,2025-12-09T04:00:00.000Z,2025-12-10T13:51:43.616Z,6,6,100.0
MAUI Scrum Board,Maui 2025 Q 4.6,2025-12-10T13:52:22.729Z,2025-12-23T04:00:00.000Z,2025-12-23T18:23:18.960Z,12,12,100.0
MAUI Scrum Board,Maui 2025 Q 4.7,2025-12-23T18:23:29.702Z,2026-01-07T04:00:00.000Z,2026-01-07T14:29:02.096Z,3,3,100.0
MAUI Scrum Board,Maui 2026 Q 1.1,2026-01-07T14:29:57.630Z,2026-01-20T05:00:00.000Z,2026-01-21T12:00:37.475Z,24,24,100.0
MAUI Scrum Board,Maui 2026 Q 1.2,2026-01-21T12:00:47.950Z,2026-02-03T05:00:00.000Z,2026-02-04T17:44:46.548Z,16,16,100.0
MAUI Scrum Board,Maui 2026 Q 1.3,2026-02-04T17:44:55.885Z,2026-02-17T05:00:00.000Z,2026-02-18T12:21:18.330Z,13,13,100.0
MAUI Scrum Board,Maui 2026 Q 1.4,2026-02-18T12:21:29.572Z,2026-03-03T05:00:00.000Z,2026-03-03T21:31:56.596Z,14,14,100.0
MAUI Scrum Board,Maui 2026 Q 1.5,2026-03-03T21:32:03.483Z,2026-03-17T05:00:00.000Z,2026-03-18T13:46:58.438Z,22,22,100.0
MAUI Scrum Board,Maui 2026 Q 1.6,2026-03-18T13:47:05.309Z,2026-03-31T05:00:00.000Z,2026-04-01T11:15:26.576Z,14,14,100.0
RRS Scrum Board,Maui 2025 Q 4.1,2025-10-01T11:36:23.590Z,2025-10-14T04:00:00.000Z,2025-10-15T10:53:05.414Z,19,19,100.0
RRS Scrum Board,Maui 2025 Q 4.2,2025-10-15T12:44:53.566Z,2025-10-28T04:00:00.000Z,2025-10-29T10:58:36.323Z,16,16,100.0
RRS Scrum Board,Maui 2025 Q 4.3,2025-10-29T10:58:53.633Z,2025-11-11T04:00:00.000Z,2025-11-12T12:10:55.413Z,9,9,100.0
RRS Scrum Board,Maui 2025 Q 4.4,2025-11-12T12:11:02.693Z,2025-11-25T04:00:00.000Z,2025-12-01T12:01:25.108Z,18,18,100.0
RRS Scrum Board,Maui 2025 Q 4.5,2025-12-01T12:01:32.578Z,2025-12-09T04:00:00.000Z,2025-12-10T13:51:43.616Z,6,6,100.0
RRS Scrum Board,Maui 2025 Q 4.6,2025-12-10T13:52:22.729Z,2025-12-23T04:00:00.000Z,2025-12-23T18:23:18.960Z,12,12,100.0
RRS Scrum Board,Maui 2025 Q 4.7,2025-12-23T18:23:29.702Z,2026-01-07T04:00:00.000Z,2026-01-07T14:29:02.096Z,3,3,100.0
RRS Scrum Board,Maui 2026 Q 1.2,2026-01-21T12:00:47.950Z,2026-02-03T05:00:00.000Z,2026-02-04T17:44:46.548Z,16,16,100.0
RRS Scrum Board,Maui 2026 Q 1.3,2026-02-04T17:44:55.885Z,2026-02-17T05:00:00.000Z,2026-02-18T12:21:18.330Z,13,13,100.0
RRS Scrum Board,Maui 2026 Q 1.4,2026-02-18T12:21:29.572Z,2026-03-03T05:00:00.000Z,2026-03-03T21:31:56.596Z,14,14,100.0
RRS Scrum Board,Maui 2026 Q 1.5,2026-03-03T21:32:03.483Z,2026-03-17T05:00:00.000Z,2026-03-18T13:46:58.438Z,22,22,100.0
RRS Scrum Board,Maui 2026 Q 1.6,2026-03-18T13:47:05.309Z,2026-03-31T05:00:00.000Z,2026-04-01T11:15:26.576Z,14,14,100.0
UR Scrum Board,Maui 2025 Q 4.1,2025-10-01T11:36:23.590Z,2025-10-14T04:00:00.000Z,2025-10-15T10:53:05.414Z,19,19,100.0
UR Scrum Board,Maui 2025 Q 4.2,2025-10-15T12:44:53.566Z,2025-10-28T04:00:00.000Z,2025-10-29T10:58:36.323Z,16,16,100.0
UR Scrum Board,Maui 2025 Q 4.6,2025-12-10T13:52:22.729Z,2025-12-23T04:00:00.000Z,2025-12-23T18:23:18.960Z,12,12,100.0
UR Scrum Board,Maui 2026 Q 1.1,2026-01-07T14:29:57.630Z,2026-01-20T05:00:00.000Z,2026-01-21T12:00:37.475Z,24,24,100.0
UR Scrum Board,Maui 2026 Q 1.2,2026-01-21T12:00:47.950Z,2026-02-03T05:00:00.000Z,2026-02-04T17:44:46.548Z,16,16,100.0
UR Scrum Board,Maui 2026 Q 1.4,2026-02-18T12:21:29.572Z,2026-03-03T05:00:00.000Z,2026-03-03T21:31:56.596Z,14,14,100.0
UR Scrum Board,Maui 2026 Q 1.5,2026-03-03T21:32:03.483Z,2026-03-17T05:00:00.000Z,2026-03-18T13:46:58.438Z,22,22,100.0
UR Scrum Board,Maui 2026 Q 1.6,2026-03-18T13:47:05.309Z,2026-03-31T05:00:00.000Z,2026-04-01T11:15:26.576Z,14,14,100.0
